Society,KCLSU Weblink,Email,Instagram,Warming Method,Message,Follow up,Result
180 Degrees Consulting,https://www.kclsu.org/groups/activities/join/14746/,kcl@180dc.org,https://instagram.com/180dckcl,,,,
93% Club,https://www.kclsu.org/groups/activities/join/93clubkcl/,kcl@93percent.club,,,,,
Accounting and Finance Society,https://www.kclsu.org/groups/activities/join/kclanfsoc/,kcl.anf@gmail.com,https://instagram.com/93clubkcl,,,,
Acute Internal Medicine Society,https://www.kclsu.org/groups/activities/join/gktaims/,gktaims@gmail.com,https://instagram.com/gktaims,,,,
Afghan Welfare Society,https://www.kclsu.org/groups/activities/join/8580/,afghanwelfaresociety@outlook.com,https://instagram.com/kcl_aws,,,,
African and Caribbean Society,https://www.kclsu.org/groups/activities/join/6141/,contact.kingsacs@gmail.com,https://instagram.com/kcl_acs,,,,
African Caribbean Medical Society (ACMS),https://www.kclsu.org/groups/activities/join/acmskcl/,acmsatKCL@gmail.com,https://instagram.com/acms_kcl,,,,
Ahlul Bayt Society,https://www.kclsu.org/groups/activities/join/6155/,absockcl@gmail.com,https://instagram.com/kclabsoc,,,,
Ahmadiyya Muslim Students Association,https://www.kclsu.org/groups/activities/join/kcl-amsa/,kingscollege.amsa@gmail.com,,,,,
Albanian Society,https://www.kclsu.org/groups/activities/join/kclalbsoc/,Kclalbsoc@gmail.com,https://instagram.com/kclalbsoc,,,,
American Politics Society,https://www.kclsu.org/groups/activities/join/24247/,kclampolsoc@gmail.com,https://instagram.com/kclampolsociety,,,,
Anaesthetics and Intensive Care Society,https://www.kclsu.org/groups/activities/join/11989/,kclanaesthetics@gmail.com,https://instagram.com/kclanaesthetics,,,,
Anatomy Society,https://www.kclsu.org/groups/activities/join/kclanatomysociety/,kclanatomy@gmail.com,https://instagram.com/kclanatomysoc,,,,
Anime & Manga Society,https://www.kclsu.org/groups/activities/join/8806/,kclanimangasoc@gmail.com,https://instagram.com/kclanimangasoc,,,,
Arab Society,https://www.kclsu.org/groups/activities/join/kingsarabsociety/,kingsarabsoc@gmail.com,https://instagram.com/kingsarabsoc,,,,
Art Business Society,https://www.kclsu.org/groups/activities/join/26715/,kingsartbusiness@gmail.com,https://instagram.com/kingsartbusiness,,,,
Art Society,https://www.kclsu.org/groups/activities/join/6225/,kclartsoc@gmail.com,https://instagram.com/kclartsoc,,,,
Asian Medical Students Association (AMSA),https://www.kclsu.org/groups/activities/join/amsaengland/,uk.amsa@gmail.com,https://instagram.com/amsa.england,,,,
Association of British and Chinese University Students (ABACUS),https://www.kclsu.org/groups/activities/join/6127/,kingsabacus@gmail.com,https://instagram.com/kclabacus,,,,
Astronomica,https://www.kclsu.org/groups/activities/join/astronomica/,kclastronomica@gmail.com,https://instagram.com/kclastronomica,,,,
Aviation Society (AVSoc),https://www.kclsu.org/groups/activities/join/28020/,kclavsoc@gmail.com,https://instagram.com/kclavsoc,,,,
BAME in the City,https://www.kclsu.org/groups/activities/join/15437/,info@bameinthecity.com,https://instagram.com/kclbameinthecity,,,,
Bangladesh Society,https://www.kclsu.org/groups/activities/join/kclbsoc/,kclbds@gmail.com,https://instagram.com/kclbsoc,,,,
Believers LoveWorld Society,https://www.kclsu.org/groups/activities/join/18686/,blwkcl@gmail.com,https://instagram.com/blwkcl,,,,
Bhangra,https://www.kclsu.org/groups/activities/join/10636/,kclbhangra@outlook.com,https://instagram.com/KCLBhangra,,,,
